#,trigger,text
1,離婚してぇ,「離婚するなら......待ってれば良かったかな......ミサワくんのこと...」http://technomaestro.com/blog/assets_c/2014/07/td%2820140731-202448%29-thumb-468xauto-10526.jpeg
2,ビール,ビールなんて飲んでて大丈夫ですか？次のセミナー準備は終ってますか？ちなみに...もちろんキリンビアですよねっ！！ねっ！！ http://www.daisyo.co.jp/whatsnew/new_img/smp/menu/yaruki_b/img/106.jpg
3,ビア,ビールなんて飲んでて大丈夫ですか？次のセミナー準備は終ってますか？ちなみに...もちろんキリンビアですよねっ！！ねっ！！ http://www.daisyo.co.jp/whatsnew/new_img/smp/menu/yaruki_b/img/106.jpg
4,ビーール,ビールなんて飲んでて大丈夫ですか？次のセミナー準備は終ってますか？ちなみに...もちろんキリンビアですよねっ！！ねっ！！ http://www.daisyo.co.jp/whatsnew/new_img/smp/menu/yaruki_b/img/106.jpg
5,ビァ,ビールなんて飲んでて大丈夫ですか？次のセミナー準備は終ってますか？ちなみに...もちろんキリンビアですよねっ！！ねっ！！ http://www.daisyo.co.jp/whatsnew/new_img/smp/menu/yaruki_b/img/106.jpg
6,www,何そんなに草生やしてるんですか！！草生やさないで早いところ草稿書ききっちゃってください！！ちゃんと卒研が終わるのか，しおり，心配です:;(∩´﹏`∩);:
7,ｗｗｗ,何そんなに草生やしてるんですか！！草生やさないで早いところ草稿書ききっちゃってください！！ちゃんと卒研が終わるのか，しおり，心配です:;(∩´﹏`∩);:
8,wwwwwwwww,すごいです！大草原ですね！でも頭の方はお花畑ですね^^そんなことで卒業が出来るのか，しおり，心配です:;(∩´﹏`∩);:
9,ｗｗｗｗｗｗｗｗｗ,すごいです！大草原ですね！でも頭の方はお花畑ですね^^そんなことで卒業が出来るのか，しおり，心配です:;(∩´﹏`∩);:
10,辛い,本当に辛い人だけが辛いと呟いてください！！でもきっと，しおりの方が辛いと思います！！ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??
11,つらい,本当に辛い人だけが辛いと呟いてください！！でもきっと，しおりの方が辛いと思います！！ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??
12,ツライ,本当に辛い人だけが辛いと呟いてください！！でもきっと，しおりの方が辛いと思います！！ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??
13,ツラい,本当に辛い人だけが辛いと呟いてください！！でもきっと，しおりの方が辛いと思います！！ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??
14,ツらい,本当に辛い人だけが辛いと呟いてください！！でもきっと，しおりの方が辛いと思います！！ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??ﾄﾞｩｰﾕｰﾉｰｰｰｰｳ??
15,サッポロ,キリンビア飲めよオラ．オラオラッ!!!!
16,昼酒,くずが
